date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-01-03,1280.3824,0.001578,0.020857999999999998,0.11081436970587503,1.6025863845247843,-0.7765452418396854,1.1981071059151598,0.05257824478852958,-1.0802814370437377,0.016243874063891908,0.21138100032613708,370,True,11,113,370,332384,1258.86,1284.62,0.02046295854979907,False,2012-01-03 16:19:32.942
2012-01-04,1274.1283,0.001578,0.020857999999999998,0.11399912344465533,1.718367745509236,-0.799368540390613,1.1810875882129317,0.0512657882869525,-1.0031830575433969,0.01679530494603727,0.22981061734116068,340,True,10,107,340,226712,1268.15,1278.73,0.008342861648858557,False,2012-01-04 16:14:58.707
2012-01-05,1274.731,0.001776,0.020865,0.10246868396726895,2.0946402452048734,-0.7671300111206084,1.2716595208167878,0.04577749622801674,-1.1878478782619406,0.01645487584929325,0.2367652419383329,333,True,8,107,333,276393,1265.31,1283.05,0.014020279615272191,False,2012-01-05 16:18:55.947
2012-01-09,1279.0535,0.001675,0.020933999999999998,0.12032887594431524,1.511090878431354,-0.8111777928890367,1.1617790716903482,0.04693048176665308,-0.9860748777149818,0.008181555334503089,0.10371634017657873,223,True,7,93,223,234730,1274.75,1281.95,0.005648166307119062,False,2012-01-09 16:16:15.534
2012-01-10,1293.0412,0.0015229999999999998,0.020710000000000003,0.09655986596743686,1.9598765778217548,-0.7711752645189914,1.279691405053559,0.0419718892487322,-1.2591192528335773,0.011362323003269564,0.1708344922652078,245,True,7,100,245,302943,1280.77,1296.3,0.012125518242932065,False,2012-01-10 16:15:08.454
2012-01-11,1289.269,0.001675,0.020712,0.09964579161807183,1.8608328385789186,-0.8147581408743989,1.1546311932385933,0.04723180266175172,-0.9623248698613778,0.01048578240641729,0.1251074272586524,232,True,8,96,232,235676,1285.41,1293.79,0.006519320683672891,False,2012-01-11 16:17:04.080
2012-01-12,1291.4098,0.001675,0.020712,0.12485895537854899,1.1476118358598462,-0.8243916029831769,0.9857231491604017,0.04745909671454946,-0.685070896779661,0.009173101063218713,0.12640184118922598,266,True,9,97,266,288675,1285.77,1296.66,0.008469632982570863,False,2012-01-12 16:14:58.635
2012-01-13,1284.3522,0.000967,0.020777999999999998,0.11978610594497181,1.4621160709901013,-0.8254806853245629,1.0669297184498325,0.048409336312052596,-0.7880566429445064,0.009068713472735718,0.11119001664989837,254,True,7,99,254,178159,1277.58,1294.82,0.013494262590209694,False,2012-01-13 16:16:13.565
2012-01-17,1297.3128,0.000967,0.020705,0.0752793056045156,3.6491150933884176,-0.7847396602231846,1.5136468256691018,0.05118542323423702,-1.7417210122556739,0.013980579749481841,0.17692134538934332,281,True,8,102,281,283916,1290.97,1302.92,0.009256605498191295,False,2012-01-17 16:19:52.232
2012-01-26,1323.2468,0.001017,0.020427,0.07131299990940212,4.410102498322566,-0.6946536881056115,1.9597305624183576,0.027725041657549694,-3.21154859914991,0.013693193298443415,0.22313530581284488,381,True,9,113,381,391850,1313.6,1333.47,0.015126370280146295,False,2012-01-26 16:19:31.408
2012-01-27,1315.6682,0.0010680000000000002,0.020481,0.09987852305029092,1.7814962193774737,-0.6899936233106232,1.3202215086329014,0.02995720734342609,-1.387118409434736,0.012682068177727426,0.21790579468566462,293,True,9,94,293,274444,1311.72,1319.99,0.006304699173604211,False,2012-01-27 16:19:45.886
2012-01-30,1307.1162,0.001119,0.020534,0.061999417023010144,5.221442676323233,-0.6772916205549285,1.9630588047116668,0.03730701866238118,-3.2061470668537853,0.0165012573501561,0.21956956261951865,327,True,8,103,327,256070,1300.54,1316.16,0.01201039568179385,False,2012-01-30 16:19:16.467
2012-02-06,1341.6754,0.001527,0.020125,0.08164217069776303,2.0424400219410876,-0.6911331868648674,1.3833982066168558,0.030067162793832772,-1.5802921242482184,0.011736118094226818,0.14215707354271997,207,True,9,81,207,170856,1337.52,1344.33,0.005091512650278185,False,2012-02-06 16:18:29.000
2012-02-07,1343.7008,0.00198,0.020097999999999998,0.06345373389500523,2.4937184259890848,-0.7403483009371165,1.1444064215942291,0.03272692684732687,-0.9931945669625432,0.013819212194628304,0.15981858195082393,306,True,10,102,306,226987,1336.07,1349.24,0.00985726795751729,False,2012-02-07 16:16:46.406
2012-02-08,1347.3485,0.001573,0.020081,0.06455920078915929,2.4903931968502366,-0.7441383286365617,1.2122919702482335,0.035278931758496716,-1.1480962322495225,0.015134150824749889,0.18433977086692854,298,True,10,109,298,208666,1342.2,1351.0,0.006556399940396362,False,2012-02-08 16:18:31.520
2012-02-09,1350.3661,0.001573,0.020081,0.0602182124543739,3.750485227857803,-0.7285256506432478,1.463338810717209,0.036212741784689334,-1.689665442434991,0.01330259736878666,0.15593464121890646,285,True,9,98,285,295120,1344.87,1354.28,0.006996958813863197,False,2012-02-09 16:17:40.043
2012-02-10,1340.6152,0.0015229999999999998,0.0202,0.07178351995945527,3.159845700703873,-0.7640301733647372,1.5077297623797674,0.046206404829191784,-1.819599342515199,0.013922010262329863,0.16456499278406114,272,True,10,95,272,358125,1337.38,1351.21,0.01034111471683441,False,2012-02-10 16:18:23.063
2012-02-13,1350.1142,0.0016289999999999998,0.020104999999999998,0.07527948854018578,3.3872241781264614,-0.7551949280513642,1.724715343966699,0.039411936408130066,-2.464666010313546,0.011881348485624263,0.1541723322952233,248,True,8,88,248,363424,1343.06,1353.32,0.007639271514303214,False,2012-02-13 16:19:27.111
2012-02-14,1346.5697,0.0016289999999999998,0.020155,0.1011713289575918,2.0147828069427702,-0.7713155405029479,1.4217748920615556,0.03941404191737142,-1.613767335418034,0.010076176666173555,0.13523389404839906,289,True,9,98,289,338628,1340.87,1351.3,0.007778531848725123,False,2012-02-14 16:18:24.797
2012-03-20,1403.3356,0.00198,0.01954,0.07115741227929863,3.1635946288534993,-0.750929207668696,1.5347072008297815,0.022445733558717856,-1.905099777698977,0.014107084628352013,0.1922031623021071,309,True,9,103,309,298243,1397.68,1409.59,0.008521263808596968,False,2012-03-20 16:17:06.929
2012-03-22,1392.6789,0.001827,0.019764999999999998,0.06329169212165006,3.144182514522145,-0.7458078562613928,1.3846956457112773,0.025389861856039666,-1.519380767884949,0.013042476109734516,0.18843094259510962,302,True,11,99,302,337154,1388.83,1402.89,0.010123629241880039,False,2012-03-22 16:18:08.628
2012-03-23,1394.4228,0.001726,0.019704,0.058459190492065966,3.9572596650294245,-0.7234833567940399,1.6427879832485996,0.019233664950904845,-2.2360759647369526,0.01429175265416721,0.21234967948632766,295,True,9,113,295,190566,1386.94,1399.13,0.008789132911301234,False,2012-03-23 16:16:54.185
2012-03-26,1411.9232,0.001726,0.019406,0.05319467889329805,3.8785725446596033,-0.7130044372606327,1.4962482844295792,0.017802925614171412,-1.8261200865034002,0.01494877523676409,0.19826585741786176,343,True,10,108,343,309318,1397.11,1416.58,0.01393591055822374,False,2012-03-26 16:18:28.121
2012-03-27,1416.4239,0.0016239999999999998,0.019479,0.048278672172409824,4.642839491450464,-0.6999661138484328,1.6374711078673718,0.020571720961025525,-2.2330113775866884,0.014688774864248246,0.2040091856376135,288,True,9,100,288,304449,1411.95,1419.12,0.005078083501540265,False,2012-03-27 16:19:44.962
2012-03-28,1406.8297,0.001675,0.019617,0.05967513556110284,2.7054903018070533,-0.7360214575502667,1.2790967274039657,0.026704389891778424,-1.313187437016365,0.013842133144116179,0.21740089080642125,357,True,10,124,357,381107,1397.28,1413.65,0.011715618916752657,False,2012-03-28 16:18:31.403
2012-03-29,1396.2133,0.001675,0.019652,0.059681972537284265,3.4276088088091696,-0.7522122081976492,1.3998952115731402,0.02552698240318144,-1.550573693793602,0.012184076250020931,0.1892813246423136,321,True,10,116,321,273890,1391.83,1405.39,0.009742569135598567,False,2012-03-29 16:17:43.631
2012-03-30,1407.9753,0.001675,0.019583,0.0532401050346569,4.463301680613022,-0.7333196140123771,1.6817970344432238,0.020368514117603844,-2.3531879645076264,0.012890311950029699,0.19615117248147654,297,True,11,99,297,316028,1401.42,1410.89,0.006757431747798748,False,2012-03-30 16:15:17.881
2012-04-05,1397.6031,0.001726,0.019818,0.04948533419666438,6.223913140085883,-0.7069799349412292,1.9622865445448057,0.02409360593918827,-3.2345836394052725,0.016826810315449546,0.22924183865340528,269,True,9,100,269,266676,1392.96,1401.54,0.006159545141281919,False,2012-04-05 16:19:36.680
2012-04-09,1382.304,0.001573,0.020052,0.0807565605977937,1.6619806760680127,-0.7920966798281135,1.0920682152297432,0.03654836697121231,-0.9241813003565795,0.009371585907165202,0.13715170944538851,268,True,10,109,268,232259,1378.24,1397.45,0.013938065939168798,False,2012-04-09 16:16:51.950
2012-04-10,1365.5753,0.001573,0.020405000000000003,0.09283370040379756,1.4805143658212905,-0.7894166229912901,1.0790891117014132,0.04249060683170268,-0.889550056832201,0.011796201564005834,0.14833728997536624,385,True,9,130,385,394522,1357.46,1382.99,0.018807184005421806,False,2012-04-10 16:19:48.951
2012-04-11,1371.091,0.001573,0.020405000000000003,0.08189634554691277,2.1548813611026407,-0.7763650952090261,1.270187542314862,0.03934894128393156,-1.2604225755289424,0.011279565949437792,0.1662809564892327,246,True,9,99,246,279147,1358.98,1374.59,0.011486556093540656,False,2012-04-11 16:18:32.956
2012-04-12,1384.1083,0.001675,0.020005000000000002,0.07627031805853045,2.489137439134102,-0.7696037155971802,1.3074808238486897,0.03499602019680257,-1.3298114963837404,0.01121641094709716,0.16143722747733133,300,True,9,111,300,275685,1368.77,1388.07,0.014100250589945684,False,2012-04-12 16:19:21.762
2012-04-13,1376.815,0.0016239999999999998,0.020259999999999997,0.07603401749601453,2.38520334941994,-0.7903096782957334,1.1716917377187501,0.036427974240238914,-1.0101483418356878,0.010976021240508322,0.15688821507122583,253,True,9,97,253,167347,1369.91,1387.61,0.012920556824900675,False,2012-04-13 16:19:03.051
2012-04-16,1370.1254,0.0016239999999999998,0.02027,0.09365744462976341,1.862804249378142,-0.7836370782027872,1.2052367224380232,0.038441413860701,-1.1036645854287057,0.010017687420239766,0.16350945522148638,261,True,7,100,261,219127,1365.38,1379.62,0.010429331028724453,False,2012-04-16 16:14:38.995
2012-04-17,1387.04,0.0016239999999999998,0.019962,0.09171570890628268,1.4989218258500194,-0.7887045701084565,1.0724094646273492,0.03349835827764936,-0.8751127041164495,0.009101026917186747,0.14935615391847112,275,True,9,107,275,240730,1369.57,1392.76,0.01693232182363813,False,2012-04-17 16:15:52.314
2012-04-19,1380.2635,0.001573,0.020168,0.07427281337957013,2.9111180336023557,-0.7246927505020989,1.5781541485943222,0.03266968907489965,-2.058136663854172,0.012609306951525673,0.19533798427934873,271,True,8,111,271,271492,1370.32,1390.33,0.014602428629808983,False,2012-04-19 16:16:12.247
