date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,lambda_,nu,delta,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-01-03,1280.3824,0.001578,0.020857999999999998,0.10923944653564722,0.7196495757516813,-0.8321698652337178,0.6410368980950559,0.041154128278753775,0.06994628105299333,-0.4976081502691278,0.49995169376075693,-0.25370006200987716,0.008973855061291029,0.17413287736514987,370,True,11,113,370,332384,1258.86,1284.62,0.02046295854979907,False,2012-01-03 16:19:32.942
2012-01-04,1274.1283,0.001578,0.020857999999999998,0.12514454019845314,0.7234887064469849,-0.8607617053130235,0.7115218257451507,0.04159372847589157,0.06871311556086834,-0.42342166886849336,0.49997494931694725,-0.3251819854975494,0.009922094943698546,0.21138003849197676,340,True,10,107,340,226712,1268.15,1278.73,0.008342861648858557,False,2012-01-04 16:14:58.707
2012-01-05,1274.731,0.001776,0.020865,0.16284053890078293,0.540246322752787,-0.8340092413002502,0.7078893850948239,0.0384471007305443,0.06016610733356185,-0.43417071053497114,0.4999577510865592,-0.32515937685746765,0.009958409254346571,0.20821681290331404,333,True,8,107,333,276393,1265.31,1283.05,0.014020279615272191,False,2012-01-05 16:18:55.947
2012-01-06,1278.3748,0.001675,0.020933999999999998,0.10757162177969001,0.8753852727677013,-0.8683144703533268,0.653156691425379,0.03341985252885097,0.0649784149318139,-0.42610514249278003,0.4999607987762779,-0.23828043660639192,0.010784707223412366,0.25489051421296005,267,True,8,99,267,338015,1273.44,1281.76,0.006533484106043375,False,2012-01-06 16:17:59.965
2012-01-09,1279.0535,0.001675,0.020933999999999998,0.1047242866800451,0.707756910427383,-0.8825803126599435,0.585026826276623,0.03680550393083292,0.06705832868979292,-0.49999993407194965,0.48533862188310767,-0.19401771228853743,0.005343455001233575,0.16023878682661438,223,True,7,93,223,234730,1274.75,1281.95,0.005648166307119062,False,2012-01-09 16:16:15.534
2012-01-10,1293.0412,0.0015229999999999998,0.020710000000000003,0.09047270802470246,0.8458019033834488,-0.8326687828323159,0.5875218004817563,0.03192179865053573,0.06458564845996291,-0.49999998331081286,0.48746544546586257,-0.19213788873822787,0.0053422682800294075,0.10398244827182286,245,True,7,100,245,302943,1280.77,1296.3,0.012125518242932065,False,2012-01-10 16:15:08.454
2012-01-11,1289.269,0.001675,0.020712,0.10304160860636531,0.5881930062946499,-0.8126099125232656,0.5746918797516058,0.034645419045309794,0.07486909143795284,-0.4999999916002649,0.40217658694438,-0.20905404957320484,0.005425973186529333,0.10652255325350533,232,True,8,96,232,235676,1285.41,1293.79,0.006519320683672891,False,2012-01-11 16:17:04.080
2012-01-12,1291.4098,0.001675,0.020712,0.08925152248662707,0.5483892053872796,-0.864332308009417,0.4777164026705301,0.033624266174139036,0.0901677449720725,-0.4999999896170855,0.46680754358348453,-0.13032381838837936,0.005958649928862331,0.13876859010797937,266,True,9,97,266,288675,1285.77,1296.66,0.008469632982570863,False,2012-01-12 16:14:58.635
2012-01-13,1284.3522,0.000967,0.020777999999999998,0.1073500331619604,0.5511169290961094,-0.8697615226711275,0.51723241545805,0.03447363573804776,0.08993204959483136,-0.4999999516870536,0.4647569778344381,-0.14920453037139858,0.005686662230391054,0.10333302395928552,254,True,7,99,254,178159,1277.58,1294.82,0.013494262590209694,False,2012-01-13 16:16:13.565
2012-01-17,1297.3128,0.000967,0.020705,0.05911928351829608,0.6327284054643894,-0.8249990415362894,0.40749264986445494,0.029504881349449664,0.1384979140634053,-0.4525307718194635,0.37052643694961857,-0.091237359708098,0.006487421549515944,0.278204725178523,281,True,8,102,281,283916,1290.97,1302.92,0.009256605498191295,False,2012-01-17 16:19:52.232
