date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2012-01-06,pegged,calibration rejected (boundary-pegged),0.01764656548127049,8.0,99.0,267.0
2012-01-23,pegged,calibration rejected (boundary-pegged),0.010201099094922476,9.0,103.0,315.0
2012-01-24,pegged,calibration rejected (boundary-pegged),0.010862415994651325,8.0,91.0,260.0
2012-01-25,pegged,calibration rejected (boundary-pegged),0.01105551478031691,8.0,105.0,317.0
2012-01-26,pegged,calibration rejected (boundary-pegged),0.010713812343121102,9.0,113.0,381.0
2012-01-31,pegged,calibration rejected (boundary-pegged),0.011836331783471463,9.0,103.0,322.0
2012-02-01,pegged,calibration rejected (boundary-pegged),0.012594941082968776,11.0,111.0,371.0
2012-02-02,pegged,calibration rejected (boundary-pegged),0.014805264099782937,9.0,90.0,267.0
2012-02-03,pegged,calibration rejected (boundary-pegged),0.015125535012068791,10.0,99.0,345.0
2012-02-15,pegged,calibration rejected (boundary-pegged),0.00986161178728743,7.0,110.0,347.0
2012-02-16,pegged,calibration rejected (boundary-pegged),0.010154683230228447,8.0,101.0,325.0
2012-02-17,pegged,calibration rejected (boundary-pegged),0.00948451364570876,9.0,95.0,269.0
2012-02-21,pegged,calibration rejected (boundary-pegged),0.010096837730901267,9.0,101.0,324.0
2012-02-22,pegged,calibration rejected (boundary-pegged),0.011309991504192375,7.0,98.0,286.0
2012-02-23,pegged,calibration rejected (boundary-pegged),0.012352855435502946,10.0,101.0,346.0
2012-02-24,pegged,calibration rejected (boundary-pegged),0.011714278413650584,8.0,90.0,283.0
2012-02-27,pegged,calibration rejected (boundary-pegged),0.012225283158709365,11.0,102.0,380.0
2012-02-28,pegged,calibration rejected (boundary-pegged),0.012999259865349163,9.0,100.0,301.0
2012-02-29,pegged,calibration rejected (boundary-pegged),0.01445243260163501,10.0,112.0,412.0
2012-03-01,pegged,calibration rejected (boundary-pegged),0.013323946842074448,9.0,96.0,304.0
2012-03-02,pegged,calibration rejected (boundary-pegged),0.015254932071975279,10.0,93.0,315.0
2012-03-05,pegged,calibration rejected (boundary-pegged),0.013095829866951897,8.0,94.0,269.0
2012-03-06,pegged,calibration rejected (boundary-pegged),0.01184907140386148,11.0,113.0,350.0
2012-03-07,pegged,calibration rejected (boundary-pegged),0.010598865295297619,8.0,109.0,292.0
2012-03-08,pegged,calibration rejected (boundary-pegged),0.009230469639630406,8.0,102.0,289.0
2012-03-09,pegged,calibration rejected (boundary-pegged),0.013224798360089449,9.0,91.0,261.0
2012-03-12,pegged,calibration rejected (boundary-pegged),0.0133953986360169,9.0,89.0,248.0
2012-03-13,pegged,calibration rejected (boundary-pegged),0.014045792454024278,10.0,119.0,430.0
2012-03-14,pegged,calibration rejected (boundary-pegged),0.018366575057615447,9.0,109.0,368.0
2012-03-15,pegged,calibration rejected (boundary-pegged),0.018473986642704242,10.0,115.0,385.0
2012-03-16,pegged,calibration rejected (boundary-pegged),0.00968914844704259,8.0,93.0,252.0
2012-03-19,pegged,calibration rejected (boundary-pegged),0.008181392629637282,12.0,110.0,369.0
2012-03-20,pegged,calibration rejected (boundary-pegged),0.010643668849719515,9.0,103.0,309.0
2012-03-21,pegged,calibration rejected (boundary-pegged),0.01402798178722531,9.0,100.0,272.0
